wheel,schedule_type,trial,rule,stop_reason,target_balanced_accuracy,stop_n_eval,stop_fraction_of_all_queries,stop_balanced_accuracy,stop_eval_time_seconds
mod2310,random_matched,5,target_99,target_0.99,0.8744910507620687,12,0.010723860589812333,0.8958333333333334,0.0023278460000710766
mod2310,random_matched,5,stability,stable_w3_tol0.01,,164,0.14655942806076855,0.8497814685314685,0.0023075510000580834
mod2310,random_matched,6,target_95,target_0.95,0.8391580790141063,12,0.010723860589812333,1.0,0.0025676590000784927
mod2310,random_matched,6,target_99,target_0.99,0.8744910507620687,12,0.010723860589812333,1.0,0.0025676590000784927
mod2310,random_matched,6,stability,stable_w3_tol0.01,,164,0.14655942806076855,0.9107965766951942,0.0023986799999420327
mod2310,random_matched,7,target_95,target_0.95,0.8391580790141063,12,0.010723860589812333,1.0,0.004634543999827656
mod2310,random_matched,7,target_99,target_0.99,0.8744910507620687,12,0.010723860589812333,1.0,0.004634543999827656
mod2310,random_matched,7,stability,stable_w3_tol0.01,,175,0.15638963360142985,0.8494634929557516,0.002336669999976948
mod2310,random_matched,8,target_95,target_0.95,0.8391580790141063,12,0.010723860589812333,0.8888888888888888,0.0025414589999854797
mod2310,random_matched,8,target_99,target_0.99,0.8744910507620687,12,0.010723860589812333,0.8888888888888888,0.0025414589999854797
mod2310,random_matched,8,stability,stable_w3_tol0.01,,199,0.1778373547810545,0.8811768659882986,0.0025217550000888878
mod2310,random_matched,9,target_95,target_0.95,0.8391580790141063,47,0.0420017873100983,0.8526098901098902,0.002173696999989261
mod2310,random_matched,9,target_99,target_0.99_not_reached,0.8744910507620687,233,0.20822162645218945,0.8565004576155334,0.002518339000062042
mod2310,random_matched,9,stability,stable_w3_tol0.01,,105,0.0938337801608579,0.8606516290726818,0.002287282999986928
mod2310,random_matched,10,target_95,target_0.95,0.8391580790141063,12,0.010723860589812333,0.9333333333333332,0.002580889999990177
mod2310,random_matched,10,target_99,target_0.99,0.8744910507620687,12,0.010723860589812333,0.9333333333333332,0.002580889999990177
mod2310,random_matched,10,stability,stable_w3_tol0.01,,187,0.1671134941912422,0.8922292780748664,0.0026151000001846114
mod2310,random_matched,11,target_95,target_0.95,0.8391580790141063,12,0.010723860589812333,1.0,0.003515472999879421
mod2310,random_matched,11,target_99,target_0.99,0.8744910507620687,12,0.010723860589812333,1.0,0.003515472999879421
mod2310,random_matched,11,stability,stable_w3_tol0.01,,175,0.15638963360142985,0.9224780701754386,0.0023368199999822536
mod2310,random_matched,12,target_95,target_0.95,0.8391580790141063,12,0.010723860589812333,1.0,0.002323265999848445
mod2310,random_matched,12,target_99,target_0.99,0.8744910507620687,12,0.010723860589812333,1.0,0.002323265999848445
mod2310,random_matched,12,stability,stable_w3_tol0.01,,187,0.1671134941912422,0.8756345192227366,0.0023589459999584506
mod2310,random_matched,13,target_95,target_0.95,0.8391580790141063,12,0.010723860589812333,1.0,0.00232529799995973
mod2310,random_matched,13,target_99,target_0.99,0.8744910507620687,12,0.010723860589812333,1.0,0.00232529799995973
mod2310,random_matched,13,stability,stable_w3_tol0.01,,152,0.1358355674709562,0.9132911779081134,0.002322448000086297
mod2310,random_matched,14,target_95,target_0.95,0.8391580790141063,12,0.010723860589812333,0.9583333333333334,0.0022668479998628754
mod2310,random_matched,14,target_99,target_0.99,0.8744910507620687,12,0.010723860589812333,0.9583333333333334,0.0022668479998628754
mod2310,random_matched,14,stability,stable_w3_tol0.01,,233,0.20822162645218945,0.8587618711750415,0.002517614999987927
mod2310,random_matched,15,target_95,target_0.95,0.8391580790141063,12,0.010723860589812333,0.9375,0.0022872890001508495
mod2310,random_matched,15,target_99,target_0.99,0.8744910507620687,12,0.010723860589812333,0.9375,0.0022872890001508495
mod2310,random_matched,15,stability,stable_w3_tol0.01,,222,0.19839142091152814,0.879519454260533,0.0024929609999162494
mod2310,random_matched,16,target_95,target_0.95,0.8391580790141063,12,0.010723860589812333,0.9583333333333334,0.002290463000008458
