schedule_fraction,n_eval,fraction_of_all_queries,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,wheel,schedule_type,trial
0.39999999999999997,120,0.10723860589812333,0.001598577000095247,0.8666666666666667,0.8736675009269559,0.16760500446827523,mod30,random_matched,2
0.44999999999999996,135,0.12064343163538874,0.0017188089998398937,0.8740740740740741,0.8821172729709316,0.17686426372753447,mod30,random_matched,2
0.49999999999999994,149,0.13315460232350312,0.0017308920000687067,0.8657718120805369,0.8687869320933838,0.15160947874120587,mod30,random_matched,2
0.5499999999999999,164,0.14655942806076855,0.0016949839998687821,0.8597560975609756,0.861235380116959,0.14849931341136463,mod30,random_matched,2
0.6,179,0.15996425379803395,0.0016194299998915085,0.8659217877094972,0.8669201412622465,0.1570835891982566,mod30,random_matched,2
0.65,194,0.17336907953529937,0.0016974440000012692,0.8608247422680413,0.8599455839371365,0.11279400790470134,mod30,random_matched,2
0.7,209,0.1867739052725648,0.0016833999998198124,0.861244019138756,0.8592619845837073,0.09400053875854636,mod30,random_matched,2
0.75,224,0.20017873100983022,0.0017161200000828103,0.8705357142857143,0.8684547908232119,0.07772405208732289,mod30,random_matched,2
0.7999999999999999,239,0.21358355674709562,0.001707572999976037,0.8702928870292888,0.8694282772739175,0.07185883989365877,mod30,random_matched,2
0.85,254,0.22698838248436104,0.0017796689999158843,0.8700787401574803,0.8693405687435719,0.07456038504570306,mod30,random_matched,2
0.9,269,0.24039320822162646,0.0018046739999135752,0.8698884758364313,0.8686537569998286,0.06952569839640413,mod30,random_matched,2
0.95,284,0.2537980339588919,0.0017736909999257477,0.8697183098591549,0.8679801407742584,0.07910735188611562,mod30,random_matched,2
1.0,298,0.26630920464700625,0.0029231489997982862,0.8691275167785235,0.866822107630931,0.09791820357342065,mod30,random_matched,2
0.05,15,0.013404825737265416,0.0018232580000585585,0.8666666666666667,0.84375,0.5376228775692583,mod30,random_matched,3
0.1,30,0.02680965147453083,0.0016305070000726118,0.9,0.9295454545454546,0.33833780160857907,mod30,random_matched,3
0.15,45,0.040214477211796246,0.001595265000105428,0.8666666666666667,0.8888888888888888,0.18278224605302354,mod30,random_matched,3
0.2,60,0.05361930294906166,0.0015961980000156473,0.9,0.902714932126697,0.0992850759606792,mod30,random_matched,3
0.25,75,0.06702412868632708,0.0015797400001247297,0.8933333333333333,0.8933823529411765,0.07928507596067924,mod30,random_matched,3
0.3,90,0.08042895442359249,0.0015991969999049616,0.8555555555555555,0.8620454545454546,0.09895740244265719,mod30,random_matched,3
0.35,105,0.0938337801608579,0.0016090940000594856,0.8761904761904762,0.8832191047333475,0.14022724371249845,mod30,random_matched,3
0.39999999999999997,120,0.10723860589812333,0.0015963289999945118,0.8666666666666667,0.8739583333333334,0.12117962466487936,mod30,random_matched,3
0.44999999999999996,135,0.12064343163538874,0.001663049999933719,0.8592592592592593,0.8666023166023166,0.13170489524376924,mod30,random_matched,3
0.49999999999999994,149,0.13315460232350312,0.0016364919999887206,0.87248322147651,0.877989923721631,0.16503229753315216,mod30,random_matched,3
0.5499999999999999,164,0.14655942806076855,0.00170266600002833,0.8719512195121951,0.8741940683430045,0.16069443536258415,mod30,random_matched,3
0.6,179,0.15996425379803395,0.00164222500006872,0.8603351955307262,0.8621515822602779,0.14591040484071474,mod30,random_matched,3
0.65,194,0.17336907953529937,0.001610651999953916,0.8608247422680413,0.8635896461694335,0.16434039965727862,mod30,random_matched,3
