schedule_name,schedule_type,trial,schedule_fraction,n_eval,fraction_of_all_queries,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,mean_confidence,median_confidence,lane_coverage_fraction
random_matched,random_matched,12,0.35,105,0.0938337801608579,0.0024346380000679346,0.8857142857142857,0.8926022933509321,0.11929018256096008,1.325434538247468,1.294101546104582,1.0
random_matched,random_matched,12,0.39999999999999997,120,0.10723860589812333,0.0021316909999313793,0.9,0.9063113751247625,0.10500446827524576,1.373498610707965,1.3055834464518512,1.0
random_matched,random_matched,12,0.44999999999999996,135,0.12064343163538874,0.0020349490000626247,0.8962962962962963,0.9022947772947774,0.06426372753450502,1.3839668000327812,1.3047093705587285,1.0
random_matched,random_matched,12,0.49999999999999994,149,0.13315460232350312,0.0021819560001858918,0.8993288590604027,0.9055658182813355,0.07927739892401536,1.399934389246488,1.355127567736049,1.0
random_matched,random_matched,12,0.5499999999999999,164,0.14655942806076855,0.00209367000002203,0.9024390243902439,0.9062353424015009,0.10152793216940209,1.42186967284553,1.3842241369060835,1.0
random_matched,random_matched,12,0.6,179,0.15996425379803395,0.0020681849998709367,0.8938547486033519,0.895885250651985,0.1154262834434176,1.4143182363368376,1.3774825496657408,1.0
random_matched,random_matched,12,0.65,194,0.17336907953529937,0.0021153400000457623,0.8865979381443299,0.8879446027036838,0.09624757008743076,1.408297659377754,1.3360964572675846,1.0
random_matched,random_matched,12,0.7,209,0.1867739052725648,0.002166168000030666,0.8851674641148325,0.8839844893181154,0.10852991606483914,1.39236005555978,1.2997611285186466,1.0
random_matched,random_matched,12,0.75,224,0.20017873100983022,0.0021315609999419394,0.8839285714285714,0.882149538559385,0.07452444784884457,1.4112755404166397,1.2969313373116143,1.0
random_matched,random_matched,12,0.7999999999999999,239,0.21358355674709562,0.0021339910001643148,0.8870292887029289,0.8853649567935282,0.08662845263067362,1.4099042018721326,1.2956066542537146,1.0
random_matched,random_matched,12,0.85,254,0.22698838248436104,0.002268303999926502,0.8818897637795275,0.8784379074315515,0.09730285054850712,1.4115480736002475,1.2994291334217374,1.0
random_matched,random_matched,12,0.9,269,0.24039320822162646,0.0021521510000184207,0.8884758364312267,0.8848813367614378,0.09790339887911068,1.3970450764805966,1.2956066542537146,1.0
random_matched,random_matched,12,0.95,284,0.2537980339588919,0.002243073000045115,0.8908450704225352,0.8870529620529621,0.10118440760739594,1.3920275990836928,1.2948541001791483,1.0
random_matched,random_matched,12,1.0,298,0.26630920464700625,0.0022479069998553314,0.8959731543624161,0.8934526236911259,0.07971522992125041,1.3908251093579216,1.2973518962892714,1.0
random_matched,random_matched,13,0.05,15,0.013404825737265416,0.0017474400001447066,1.0,1.0,0.14977658623771226,1.6580370681678003,1.5579526789602693,0.25
random_matched,random_matched,13,0.1,30,0.02680965147453083,0.0018427830000291578,0.9,0.8830357142857144,0.14548704200178728,1.5782540856218394,1.4753373863655483,0.375
random_matched,random_matched,13,0.15,45,0.040214477211796246,0.0019146829999954207,0.8888888888888888,0.8861607142857143,0.2716711349419124,1.4436324451807852,1.2990971383248282,0.5
random_matched,random_matched,13,0.2,60,0.05361930294906166,0.0020112519998747302,0.9,0.8945741758241759,0.23833780160857906,1.4731245480549697,1.3749781010062119,0.625
random_matched,random_matched,13,0.25,75,0.06702412868632708,0.0020613259998754074,0.8933333333333333,0.8823913043478261,0.21833780160857905,1.4008222886404624,1.2990971383248282,0.625
random_matched,random_matched,13,0.3,90,0.08042895442359249,0.0021698269999888,0.9,0.8952621452621453,0.1383378016085791,1.4025171013805509,1.329043808095413,0.75
random_matched,random_matched,13,0.35,105,0.0938337801608579,0.004218192000053023,0.8952380952380953,0.8944845034788108,0.17643303970381724,1.42100737207616,1.390965724146426,1.0
random_matched,random_matched,13,0.39999999999999997,120,0.10723860589812333,0.0036190040000292356,0.9,0.9032859927596769,0.15500446827524578,1.415835790802104,1.3749781010062119,1.0
random_matched,random_matched,13,0.44999999999999996,135,0.12064343163538874,0.0024661660002038843,0.8888888888888888,0.8908028455284553,0.1383378016085791,1.3716506466214986,1.2289680594793255,1.0
random_matched,random_matched,13,0.49999999999999994,149,0.13315460232350312,0.0025195700000040233,0.8791946308724832,0.8754304448323035,0.09270021771596171,1.3524615776370674,1.2007100612597035,1.0
random_matched,random_matched,13,0.5499999999999999,164,0.14655942806076855,0.002204336999966472,0.8902439024390244,0.8847726659867461,0.09687438697443276,1.3319651887802288,1.1825417404984973,1.0
random_matched,random_matched,13,0.6,179,0.15996425379803395,0.0022774809999646095,0.888268156424581,0.8841469921301854,0.05565623736276901,1.3471344408363455,1.164373419737291,1.0
random_matched,random_matched,13,0.65,194,0.17336907953529937,0.0021482530000866973,0.8917525773195877,0.8889556096077835,0.062049141814764674,1.3735224522354696,1.202756207820631,1.0
random_matched,random_matched,13,0.7,209,0.1867739052725648,0.0021327100000689825,0.8899521531100478,0.8860116103942812,0.057955026488961864,1.4077463874683487,1.2289680594793255,1.0
random_matched,random_matched,13,0.75,224,0.20017873100983022,0.002139143000022159,0.8883928571428571,0.8872345634580304,0.07226637303715053,1.409945861422867,1.2564722968644229,1.0
random_matched,random_matched,13,0.7999999999999999,239,0.21358355674709562,0.0025339849998999853,0.891213389121339,0.8901283689915692,0.07641311541611046,1.414707598884956,1.2839765342495202,1.0
random_matched,random_matched,13,0.85,254,0.22698838248436104,0.003099959999872226,0.8976377952755905,0.8960589258534464,0.08007008507314603,1.3956020148206698,1.228844644444318,1.0
random_matched,random_matched,13,0.9,269,0.24039320822162646,0.0026706429998739623,0.8921933085501859,0.8914510959470637,0.09075415848590254,1.374376007707048,1.2287212294093104,1.0
random_matched,random_matched,13,0.95,284,0.2537980339588919,0.0022945120001622854,0.8943661971830986,0.8922039881879239,0.09326737907336785,1.3796836698404682,1.289039040177051,1.0
random_matched,random_matched,13,1.0,298,0.26630920464700625,0.0023536250000688597,0.8993288590604027,0.8970824095476202,0.09270021771596171,1.3645713044227914,1.2284868443670198,1.0
random_matched,random_matched,14,0.05,15,0.013404825737265416,0.0017899570000281528,0.8,0.8041666666666666,0.1490616621983914,1.3193672614394558,0.9586535651052547,0.375
random_matched,random_matched,14,0.1,30,0.02680965147453083,0.0017844349999904807,0.8333333333333334,0.8354166666666667,0.0831099195710456,1.262496553442402,1.0576832537246115,0.375
random_matched,random_matched,14,0.15,45,0.040214477211796246,0.001847333999876355,0.8888888888888888,0.8797348484848484,0.10104259755734285,1.1689589115459433,1.0553086638798248,0.75
random_matched,random_matched,14,0.2,60,0.05361930294906166,0.0018198520001533325,0.85,0.8375497567448031,0.14548704200178728,1.1125339291815493,0.991507399439339,1.0
random_matched,random_matched,14,0.25,75,0.06702412868632708,0.0018489200001567951,0.8533333333333334,0.8322727272727273,0.1988203753351206,1.1865197768989615,1.0553086638798248,1.0
random_matched,random_matched,14,0.3,90,0.08042895442359249,0.001981698999998116,0.8555555555555555,0.8435939060939062,0.14548704200178728,1.189359340707613,1.0622357394726898,1.0
random_matched,random_matched,14,0.35,105,0.0938337801608579,0.0018854489999284851,0.8571428571428571,0.8434491978609626,0.14548704200178728,1.20958007111162,1.1352234318454437,1.0
random_matched,random_matched,14,0.39999999999999997,120,0.10723860589812333,0.0019214839999222022,0.85,0.8362745098039216,0.11215370866845395,1.1953794849413744,1.1117705793844925,1.0
random_matched,random_matched,14,0.44999999999999996,135,0.12064343163538874,0.0019292890001452179,0.8666666666666667,0.8533706889506374,0.1306722271869725,1.1853908439303151,1.0644136353759817,1.0
random_matched,random_matched,14,0.49999999999999994,149,0.13315460232350312,0.001902439999867056,0.87248322147651,0.8606716926484368,0.1266950956930625,1.1843378178426238,1.0862322583684114,1.0
random_matched,random_matched,14,0.5499999999999999,164,0.14655942806076855,0.0020934080000643007,0.8597560975609756,0.84937641723356,0.09182850541642143,1.2004855311370917,1.0885899737415388,1.0
random_matched,random_matched,14,0.6,179,0.15996425379803395,0.0028594740001608443,0.8603351955307262,0.8475870058168196,0.09632503082860294,1.2171521048210585,1.115784667777493,1.0
random_matched,random_matched,14,0.65,194,0.17336907953529937,0.002853330000107235,0.865979381443299,0.8511602870813397,0.10012621725951928,1.2404524675513584,1.141483948575089,1.0
random_matched,random_matched,14,0.7,209,0.1867739052725648,0.0023842319999403117,0.8755980861244019,0.8587273060923029,0.12252053482475384,1.2670633071155555,1.1352234318454437,1.0
random_matched,random_matched,14,0.75,224,0.20017873100983022,0.0024232569999185216,0.8660714285714286,0.8520553814546765,0.09727275628750151,1.2548833754365372,1.1255040498114683,1.0
