schedule_name,schedule_type,trial,schedule_fraction,n_eval,fraction_of_all_queries,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,mean_confidence,median_confidence
random_matched,random_matched,1,0.49999999999999994,149,0.13315460232350312,0.0020506969999587454,0.9328859060402684,0.9310705741626795,0.07107256598952802,1.2226670677406128,1.0644136353759817
random_matched,random_matched,1,0.5499999999999999,164,0.14655942806076855,0.002530630000023848,0.9329268292682927,0.9316571834992888,0.11191394755770612,1.2672744415772597,1.1033312302443825
random_matched,random_matched,1,0.6,179,0.15996425379803395,0.002069335999976829,0.9385474860335196,0.9372705018359853,0.112390851768089,1.2652391186065421,1.1114665282127727
random_matched,random_matched,1,0.65,194,0.17336907953529937,0.0020251579999239766,0.9329896907216495,0.929884771858303,0.10655684843794619,1.2690182423346097,1.112386159889406
random_matched,random_matched,1,0.7,209,0.1867739052725648,0.0020018050000771836,0.9234449760765551,0.9207787174066244,0.0989605380744085,1.3023795789813002,1.1201519803570092
random_matched,random_matched,1,0.75,224,0.20017873100983022,0.0020040839999637683,0.9241071428571429,0.9196484071484071,0.11023873356313033,1.328467963748952,1.1422106251295019
random_matched,random_matched,1,0.7999999999999999,239,0.21358355674709562,0.0022300670000277023,0.9121338912133892,0.9074860446570973,0.10336485430431383,1.3247570777380504,1.2007100612597035
random_matched,random_matched,1,0.85,254,0.22698838248436104,0.002053514999943218,0.9133858267716536,0.9093362215663424,0.09030841654176602,1.3162331631856672,1.1971276816926482
random_matched,random_matched,1,0.9,269,0.24039320822162646,0.002481513000020641,0.9107806691449815,0.9075108533441867,0.09926547534807698,1.3191743027671785,1.197811591914577
random_matched,random_matched,1,0.95,284,0.2537980339588919,0.002175091000026441,0.9119718309859155,0.9078080972408656,0.07910735188611559,1.3379923511731666,1.2015662743775883
random_matched,random_matched,1,1.0,298,0.26630920464700625,0.0024097659999142707,0.912751677852349,0.9090468301830892,0.07937935956720707,1.3466945592318953,1.2015662743775883
random_matched,random_matched,2,0.05,15,0.013404825737265416,0.0018830249999837179,0.8666666666666667,0.8809523809523809,0.4114387846291331,1.1953448574312082,1.0834573668315868
random_matched,random_matched,2,0.1,30,0.02680965147453083,0.001894485000093482,0.8333333333333334,0.8520833333333334,0.1490616621983914,1.3053585116845556,1.0524883006389234
random_matched,random_matched,2,0.15,45,0.040214477211796246,0.0019930219999650944,0.8444444444444444,0.8450396825396825,0.104617217753947,1.1791783445997686,0.9634435622543953
