schedule_name,schedule_type,trial,rule,stop_reason,target_balanced_accuracy,stop_n_eval,stop_fraction_of_all_queries,stop_balanced_accuracy,stop_eval_time_seconds
random_matched,random_matched,18,stability,stable_w3_tol0.01,,149,0.13315460232350312,0.9083279482774856,0.001814398999954392
random_matched,random_matched,19,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,1.0,0.001959237000050962
random_matched,random_matched,19,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,1.0,0.001959237000050962
random_matched,random_matched,19,stability,stable_w3_tol0.01,,135,0.12064343163538874,0.9096153846153846,0.0018868519999841737
random_matched,random_matched,20,target_95,target_0.95,0.8391580790141063,30,0.02680965147453083,0.8452380952380952,0.0018898719999924651
random_matched,random_matched,20,target_99,target_0.99,0.8744910507620687,60,0.05361930294906166,0.8848739495798319,0.002138241000011476
random_matched,random_matched,20,stability,stable_w3_tol0.01,,254,0.22698838248436104,0.8741744346918874,0.0018593820000205596
random_matched,random_matched,21,target_95,target_0.95,0.8391580790141063,30,0.02680965147453083,0.8402777777777778,0.00169596500006719
random_matched,random_matched,21,target_99,target_0.99,0.8744910507620687,60,0.05361930294906166,0.8974702380952381,0.0017601490000060949
random_matched,random_matched,21,stability,stable_w3_tol0.01,,120,0.10723860589812333,0.8862032770097286,0.0018152300000338073
random_matched,random_matched,22,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.9333333333333332,0.0015344089999871358
random_matched,random_matched,22,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.9333333333333332,0.0015344089999871358
random_matched,random_matched,22,stability,stable_w3_tol0.01,,105,0.0938337801608579,0.8615612648221345,0.0034771580000096947
random_matched,random_matched,23,target_95,target_0.95,0.8391580790141063,30,0.02680965147453083,0.8585858585858586,0.0021632970000382556
random_matched,random_matched,23,target_99,target_0.99,0.8744910507620687,179,0.15996425379803395,0.8765484161840992,0.001978695000047992
random_matched,random_matched,23,stability,stable_w3_tol0.01,,179,0.15996425379803395,0.8765484161840992,0.001978695000047992
random_matched,random_matched,24,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.875,0.0016834059999837336
random_matched,random_matched,24,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.875,0.0016834059999837336
random_matched,random_matched,24,stability,stable_w3_tol0.01,,224,0.20017873100983022,0.8888822069785802,0.0018110489999116908
random_matched,random_matched,25,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.875,0.0016383619999942312
random_matched,random_matched,25,target_99,target_0.99,0.8744910507620687,15,0.013404825737265416,0.875,0.0016383619999942312
random_matched,random_matched,25,stability,stable_w3_tol0.01,,224,0.20017873100983022,0.8938131313131313,0.0018779630000835823
random_matched,random_matched,26,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.8666666666666667,0.0015887729999803923
random_matched,random_matched,26,target_99,target_0.99,0.8744910507620687,60,0.05361930294906166,0.9076388888888889,0.0017406380000011268
random_matched,random_matched,26,stability,stable_w3_tol0.01,,149,0.13315460232350312,0.9335200876359413,0.0018277269999771306
random_matched,random_matched,27,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.85,0.001754575999939334
random_matched,random_matched,27,target_99,target_0.99,0.8744910507620687,30,0.02680965147453083,0.8976190476190476,0.0020904310000560145
random_matched,random_matched,27,stability,stable_w3_tol0.01,,149,0.13315460232350312,0.8792162698412698,0.0018240519999608296
random_matched,random_matched,28,target_95,target_0.95,0.8391580790141063,15,0.013404825737265416,0.84375,0.003526055999941491
