label,wheel,subset_type,trial,n_queries_total,n_queries_eval,query_fraction,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift
mod210_random_08,mod210,random_matched,8,1119,256,0.2287756925826631,0.0008258350001142389,0.87890625,0.8790634603847048,0.007987042001787292
mod210_random_09,mod210,random_matched,9,1119,256,0.2287756925826631,0.0008738429999084474,0.87890625,0.8754930288020547,0.10531166219839144
mod210_random_10,mod210,random_matched,10,1119,256,0.2287756925826631,0.0010029380000560195,0.87890625,0.8789550904005227,0.05451295799821271
mod210_random_11,mod210,random_matched,11,1119,256,0.2287756925826631,0.0008642390000659361,0.87890625,0.879660696946812,0.07795045799821271
mod210_random_12,mod210,random_matched,12,1119,256,0.2287756925826631,0.0009267080001791328,0.921875,0.9167484145425322,0.0477128016085791
mod210_random_13,mod210,random_matched,13,1119,256,0.2287756925826631,0.000977467999973669,0.90234375,0.8997747637476781,0.08187416219839144
mod210_random_14,mod210,random_matched,14,1119,256,0.2287756925826631,0.000962596000135818,0.84765625,0.8436254528985508,0.07406166219839144
mod210_random_15,mod210,random_matched,15,1119,256,0.2287756925826631,0.000874415999987832,0.88671875,0.8874675324675325,0.03923704200178729
mod210_random_16,mod210,random_matched,16,1119,256,0.2287756925826631,0.000908226000092327,0.8828125,0.8817114330158864,0.06876954870420021
mod210_random_17,mod210,random_matched,17,1119,256,0.2287756925826631,0.0007155020000482182,0.88671875,0.8851828499369483,0.06011924709562105
mod210_random_18,mod210,random_matched,18,1119,256,0.2287756925826631,0.0009245870000995637,0.90234375,0.8935860417226251,0.0711503016085791
mod210_random_19,mod210,random_matched,19,1119,256,0.2287756925826631,0.0008924800001750555,0.8984375,0.8890010934847892,0.08611204200178729
mod210_random_20,mod210,random_matched,20,1119,256,0.2287756925826631,0.0008741670001199964,0.88671875,0.8837115716957917,0.13687583780160856
mod210_random_21,mod210,random_matched,21,1119,256,0.2287756925826631,0.0012958209999851533,0.88671875,0.8860649718472492,0.0446687890974084
mod210_random_22,mod210,random_matched,22,1119,256,0.2287756925826631,0.0009080499999072345,0.8828125,0.8787546528369665,0.05093833780160856
mod210_random_23,mod210,random_matched,23,1119,256,0.2287756925826631,0.0009495110000443674,0.875,0.8781202388505479,0.11480674709562105
mod210_random_24,mod210,random_matched,24,1119,256,0.2287756925826631,0.0008344909999777883,0.90625,0.9023150656073191,0.06267454200178729
mod210_random_25,mod210,random_matched,25,1119,256,0.2287756925826631,0.000956350000024031,0.88671875,0.887326952195544,0.05875083780160856
mod210_random_26,mod210,random_matched,26,1119,256,0.2287756925826631,0.0009289839999837568,0.86328125,0.8606277938873365,0.019374162198391442
mod210_random_27,mod210,random_matched,27,1119,256,0.2287756925826631,0.0008744730000671552,0.87890625,0.8825052198711583,0.12874916219839144
mod210_random_28,mod210,random_matched,28,1119,256,0.2287756925826631,0.00092830799985677,0.8828125,0.8818293826964747,0.04281166219839144
mod210_random_29,mod210,random_matched,29,1119,256,0.2287756925826631,0.0011754699999073637,0.87109375,0.8669614376851219,0.16812583780160856
mod2310_deterministic,mod2310,deterministic,-1,1119,233,0.20822162645218945,0.0011943889999201929,0.927038626609442,0.925542844179414,0.07181458000130406
mod2310_random_00,mod2310,random_matched,0,1119,233,0.20822162645218945,0.0012340589998984797,0.8969957081545065,0.8945191351313164,0.05965626881757541
mod2310_random_01,mod2310,random_matched,1,1119,233,0.20822162645218945,0.003153776999852198,0.9184549356223176,0.9209984157826088,0.053212747433138835
mod2310_random_02,mod2310,random_matched,2,1119,233,0.20822162645218945,0.0007452610000200366,0.8626609442060086,0.8595621468926554,0.1111584147403222
mod2310_random_03,mod2310,random_matched,3,1119,233,0.20822162645218945,0.0008767490000991529,0.8583690987124464,0.8509326101871741,0.1572219217802529
mod2310_random_04,mod2310,random_matched,4,1119,233,0.20822162645218945,0.0008625899999969988,0.8798283261802575,0.8786382993700066,0.06451192243227599
