label,wheel,subset_type,trial,n_queries_total,n_queries_eval,query_fraction,eval_time_seconds,accuracy,balanced_accuracy,class_balance_l1_shift,schedule_fraction,fraction_of_all_queries
mod210_random_progress_0.6_08,mod210,random_progress,8,1119,154,0.13762287756925826,0.0008141270000123768,0.8701298701298701,0.869968694096601,0.08763622436544688,0.6,0.13762287756925826
mod210_random_progress_0.6_09,mod210,random_progress,9,1119,154,0.13762287756925826,0.0008027670000956277,0.9090909090909091,0.9011152671900482,0.10062323735245987,0.6,0.13762287756925826
mod210_progress_0.7,mod210,deterministic_progress,-1,1119,180,0.16085790884718498,0.0009601740000562131,0.9333333333333333,0.9315988835725678,0.14340184688710159,0.7000000000000001,0.16085790884718498
mod210_random_progress_0.7_00,mod210,random_progress,0,1119,180,0.16085790884718498,0.0008093249998637475,0.8555555555555555,0.8440260719672484,0.0827822460530235,0.7000000000000001,0.16085790884718498
mod210_random_progress_0.7_01,mod210,random_progress,1,1119,180,0.16085790884718498,0.0008322900000621303,0.9,0.9031685137823245,0.1656240691093238,0.7000000000000001,0.16085790884718498
mod210_random_progress_0.7_02,mod210,random_progress,2,1119,180,0.16085790884718498,0.0008716350000668172,0.8666666666666667,0.847814465408805,0.09350610664283593,0.7000000000000001,0.16085790884718498
mod210_random_progress_0.7_03,mod210,random_progress,3,1119,180,0.16085790884718498,0.0008747870001570845,0.8555555555555555,0.8661962207750614,0.14906166219839148,0.7000000000000001,0.16085790884718498
mod210_random_progress_0.7_04,mod210,random_progress,4,1119,180,0.16085790884718498,0.0010169279998990532,0.8777777777777778,0.8708653751355615,0.03437593089067614,0.7000000000000001,0.16085790884718498
mod210_random_progress_0.7_05,mod210,random_progress,5,1119,180,0.16085790884718498,0.0007990199999312608,0.9,0.8933955927562066,0.07849270181709861,0.7000000000000001,0.16085790884718498
mod210_random_progress_0.7_06,mod210,random_progress,6,1119,180,0.16085790884718498,0.001838090000092052,0.8888888888888888,0.8950544579533941,0.10032767351802199,0.7000000000000001,0.16085790884718498
mod210_random_progress_0.7_07,mod210,random_progress,7,1119,180,0.16085790884718498,0.0007767209999656188,0.8611111111111112,0.8615995115995116,0.12117962466487936,0.7000000000000001,0.16085790884718498
mod210_random_progress_0.7_08,mod210,random_progress,8,1119,180,0.16085790884718498,0.0009076849999019032,0.8666666666666667,0.8694901929229533,0.0709562109025916,0.7000000000000001,0.16085790884718498
mod210_random_progress_0.7_09,mod210,random_progress,9,1119,180,0.16085790884718498,0.00188024699991729,0.8444444444444444,0.8457533298737242,0.10577896931784328,0.7000000000000001,0.16085790884718498
mod210_progress_0.8,mod210,deterministic_progress,-1,1119,205,0.18319928507596067,0.000901677000001655,0.926829268292683,0.926482083055454,0.147195884827481,0.8,0.18319928507596067
mod210_random_progress_0.8_00,mod210,random_progress,0,1119,205,0.18319928507596067,0.0008589530000335799,0.8585365853658536,0.8580059193488716,0.08111772270537715,0.8,0.18319928507596067
mod210_random_progress_0.8_01,mod210,random_progress,1,1119,205,0.18319928507596067,0.0010736930000803113,0.8731707317073171,0.8670545545545546,0.05768216395300679,0.8,0.18319928507596067
mod210_random_progress_0.8_02,mod210,random_progress,2,1119,205,0.18319928507596067,0.0008145220001551934,0.926829268292683,0.9254748532845334,0.032337234900499084,0.8,0.18319928507596067
mod210_random_progress_0.8_03,mod210,random_progress,3,1119,205,0.18319928507596067,0.000879531999999017,0.8682926829268293,0.8596464019851117,0.07225963948647524,0.8,0.18319928507596067
mod210_random_progress_0.8_04,mod210,random_progress,4,1119,205,0.18319928507596067,0.0008180140000604297,0.8926829268292683,0.8925002368096997,0.032337234900499084,0.8,0.18319928507596067
mod210_random_progress_0.8_05,mod210,random_progress,5,1119,205,0.18319928507596067,0.0008669219998864719,0.8975609756097561,0.8935980017006803,0.0917718346084265,0.8,0.18319928507596067
mod210_random_progress_0.8_06,mod210,random_progress,6,1119,205,0.18319928507596067,0.0008367209998141334,0.8731707317073171,0.8675103456315207,0.1162187493188605,0.8,0.18319928507596067
mod210_random_progress_0.8_07,mod210,random_progress,7,1119,205,0.18319928507596067,0.0008060899999691173,0.926829268292683,0.9212650415178018,0.08508467926502317,0.8,0.18319928507596067
mod210_random_progress_0.8_08,mod210,random_progress,8,1119,205,0.18319928507596067,0.0008057769998686126,0.8926829268292683,0.8873756875917668,0.0363041914601451,0.8,0.18319928507596067
mod210_random_progress_0.8_09,mod210,random_progress,9,1119,205,0.18319928507596067,0.0008088649999535846,0.9073170731707317,0.9029291156403608,0.10459687438697438,0.8,0.18319928507596067
mod210_progress_0.9,mod210,deterministic_progress,-1,1119,231,0.2064343163538874,0.0008888470001693349,0.922077922077922,0.9210004830599653,0.12896486891124964,0.9,0.2064343163538874
