schedule_name,schedule_type,trial,rule,accuracy_target_fraction,coverage_target,target_balanced_accuracy,stop_reason,stop_n_eval,stop_fraction_of_all_queries,stop_balanced_accuracy,stop_lane_coverage_fraction,stop_class_balance_l1_shift,stop_eval_time_seconds,rule_label
random_matched,random_matched,9,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,90,0.08042895442359249,0.8926630434782609,1.0,0.08960381292820971,0.0017231960000572144,joint_acc95_cov100
random_matched,random_matched,10,accuracy_only,0.95,0.0,0.8391580790141063,reached,15,0.013404825737265416,0.9166666666666666,0.5,0.5290437890974085,0.0016634690000500996,accuracy_only
random_matched,random_matched,10,coverage_only,0.95,0.75,0.8391580790141063,reached,60,0.05361930294906166,0.9686274509803922,0.875,0.11760500446827521,0.0023013229997559392,coverage_only_75
random_matched,random_matched,10,coverage_only,0.95,1.0,0.8391580790141063,reached,75,0.06702412868632708,0.9589285714285714,1.0,0.12904378909740843,0.002003615999910835,coverage_only_100
random_matched,random_matched,10,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,60,0.05361930294906166,0.9686274509803922,0.875,0.11760500446827521,0.0023013229997559392,joint_acc95_cov75
random_matched,random_matched,10,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,75,0.06702412868632708,0.9589285714285714,1.0,0.12904378909740843,0.002003615999910835,joint_acc95_cov100
random_matched,random_matched,11,accuracy_only,0.95,0.0,0.8391580790141063,reached,30,0.02680965147453083,0.8695436507936508,0.75,0.12189454870420019,0.0022298280000541126,accuracy_only
random_matched,random_matched,11,coverage_only,0.95,0.75,0.8391580790141063,reached,30,0.02680965147453083,0.8695436507936508,0.75,0.12189454870420019,0.0022298280000541126,coverage_only_75
random_matched,random_matched,11,coverage_only,0.95,1.0,0.8391580790141063,reached,90,0.08042895442359249,0.8663744588744589,1.0,0.11611557938635692,0.001883707000160939,coverage_only_100
random_matched,random_matched,11,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,30,0.02680965147453083,0.8695436507936508,0.75,0.12189454870420019,0.0022298280000541126,joint_acc95_cov75
random_matched,random_matched,11,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,90,0.08042895442359249,0.8663744588744589,1.0,0.11611557938635692,0.001883707000160939,joint_acc95_cov100
random_matched,random_matched,12,accuracy_only,0.95,0.0,0.8391580790141063,reached,15,0.013404825737265416,1.0,0.375,0.14977658623771226,0.001601461000063864,accuracy_only
random_matched,random_matched,12,coverage_only,0.95,0.75,0.8391580790141063,reached,30,0.02680965147453083,0.95,0.75,0.14906166219839143,0.0016302720000567206,coverage_only_75
random_matched,random_matched,12,coverage_only,0.95,1.0,0.8391580790141063,reached,75,0.06702412868632708,0.8797619047619046,1.0,0.03167113494191243,0.0017746610001267982,coverage_only_100
random_matched,random_matched,12,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,30,0.02680965147453083,0.95,0.75,0.14906166219839143,0.0016302720000567206,joint_acc95_cov75
random_matched,random_matched,12,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,75,0.06702412868632708,0.8797619047619046,1.0,0.03167113494191243,0.0017746610001267982,joint_acc95_cov100
random_matched,random_matched,13,accuracy_only,0.95,0.0,0.8391580790141063,reached,15,0.013404825737265416,0.9166666666666666,0.375,0.2788203753351206,0.0019120450001537392,accuracy_only
random_matched,random_matched,13,coverage_only,0.95,0.75,0.8391580790141063,reached,60,0.05361930294906166,0.8472222222222222,0.75,0.14548704200178728,0.0018309379997845099,coverage_only_75
random_matched,random_matched,13,coverage_only,0.95,1.0,0.8391580790141063,reached,90,0.08042895442359249,0.8476859417756157,1.0,0.17849270181709861,0.0018880469997384353,coverage_only_100
random_matched,random_matched,13,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,60,0.05361930294906166,0.8472222222222222,0.75,0.14548704200178728,0.0018309379997845099,joint_acc95_cov75
random_matched,random_matched,13,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,90,0.08042895442359249,0.8476859417756157,1.0,0.17849270181709861,0.0018880469997384353,joint_acc95_cov100
random_matched,random_matched,14,accuracy_only,0.95,0.0,0.8391580790141063,reached,105,0.0938337801608579,0.8594501456343562,0.875,0.1835822800970254,0.0017497779999757768,accuracy_only
random_matched,random_matched,14,coverage_only,0.95,0.75,0.8391580790141063,reached,45,0.040214477211796246,0.8352941176470587,0.75,0.23437593089067618,0.0015974960001585714,coverage_only_75
random_matched,random_matched,14,coverage_only,0.95,1.0,0.8391580790141063,reached,164,0.14655942806076855,0.8497114448616325,1.0,0.14060899322129947,0.0028148440001132258,coverage_only_100
random_matched,random_matched,14,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,105,0.0938337801608579,0.8594501456343562,0.875,0.1835822800970254,0.0017497779999757768,joint_acc95_cov75
random_matched,random_matched,14,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,164,0.14655942806076855,0.8497114448616325,1.0,0.14060899322129947,0.0028148440001132258,joint_acc95_cov100
random_matched,random_matched,15,accuracy_only,0.95,0.0,0.8391580790141063,reached,30,0.02680965147453083,0.8527777777777779,0.625,0.20500446827524574,0.001566453000123147,accuracy_only
random_matched,random_matched,15,coverage_only,0.95,0.75,0.8391580790141063,reached,45,0.040214477211796246,0.8827838827838829,0.75,0.14977658623771226,0.0016933570000219333,coverage_only_75
random_matched,random_matched,15,coverage_only,0.95,1.0,0.8391580790141063,reached,60,0.05361930294906166,0.9004934210526316,1.0,0.14977658623771226,0.001654557999700046,coverage_only_100
random_matched,random_matched,15,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,45,0.040214477211796246,0.8827838827838829,0.75,0.14977658623771226,0.0016933570000219333,joint_acc95_cov75
random_matched,random_matched,15,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,60,0.05361930294906166,0.9004934210526316,1.0,0.14977658623771226,0.001654557999700046,joint_acc95_cov100
random_matched,random_matched,16,accuracy_only,0.95,0.0,0.8391580790141063,reached,15,0.013404825737265416,0.9375,0.375,0.5376228775692583,0.002005133999773534,accuracy_only
random_matched,random_matched,16,coverage_only,0.95,0.75,0.8391580790141063,reached,45,0.040214477211796246,0.9285714285714286,0.75,0.40428954423592495,0.0017329779998362937,coverage_only_75
random_matched,random_matched,16,coverage_only,0.95,1.0,0.8391580790141063,reached,135,0.12064343163538874,0.8979978354978355,1.0,0.1656240691093238,0.0017894429997795669,coverage_only_100
random_matched,random_matched,16,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,45,0.040214477211796246,0.9285714285714286,0.75,0.40428954423592495,0.0017329779998362937,joint_acc95_cov75
random_matched,random_matched,16,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,135,0.12064343163538874,0.8979978354978355,1.0,0.1656240691093238,0.0017894429997795669,joint_acc95_cov100
random_matched,random_matched,17,accuracy_only,0.95,0.0,0.8391580790141063,reached,15,0.013404825737265416,1.0,0.5,0.26166219839142085,0.002729359000113618,accuracy_only
random_matched,random_matched,17,coverage_only,0.95,0.75,0.8391580790141063,reached,75,0.06702412868632708,0.9022556390977444,0.875,0.22477211796246643,0.0021147209999980987,coverage_only_75
random_matched,random_matched,17,coverage_only,0.95,1.0,0.8391580790141063,reached,90,0.08042895442359249,0.9098882734912146,1.0,0.2558832290735776,0.0019400790001782298,coverage_only_100
random_matched,random_matched,17,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,75,0.06702412868632708,0.9022556390977444,0.875,0.22477211796246643,0.0021147209999980987,joint_acc95_cov75
random_matched,random_matched,17,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,90,0.08042895442359249,0.9098882734912146,1.0,0.2558832290735776,0.0019400790001782298,joint_acc95_cov100
random_matched,random_matched,18,accuracy_only,0.95,0.0,0.8391580790141063,reached,15,0.013404825737265416,0.9375,0.125,0.28310991957104564,0.003048755999770947,accuracy_only
random_matched,random_matched,18,coverage_only,0.95,0.75,0.8391580790141063,reached,105,0.0938337801608579,0.9422638910959267,0.875,0.08119494446572198,0.002033219999702851,coverage_only_75
random_matched,random_matched,18,coverage_only,0.95,1.0,0.8391580790141063,reached,135,0.12064343163538874,0.9531726579520697,1.0,0.059974183298580064,0.002375006999955076,coverage_only_100
random_matched,random_matched,18,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,105,0.0938337801608579,0.9422638910959267,0.875,0.08119494446572198,0.002033219999702851,joint_acc95_cov75
random_matched,random_matched,18,joint_accuracy_coverage,0.95,1.0,0.8391580790141063,reached,135,0.12064343163538874,0.9531726579520697,1.0,0.059974183298580064,0.002375006999955076,joint_acc95_cov100
random_matched,random_matched,19,accuracy_only,0.95,0.0,0.8391580790141063,reached,15,0.013404825737265416,0.9375,0.375,0.41572832886505817,0.0016207069998017687,accuracy_only
random_matched,random_matched,19,coverage_only,0.95,0.75,0.8391580790141063,reached,45,0.040214477211796246,0.9142857142857143,0.75,0.27810545129579983,0.0016635169999972277,coverage_only_75
random_matched,random_matched,19,coverage_only,0.95,1.0,0.8391580790141063,reached,90,0.08042895442359249,0.9169513457556936,1.0,0.0838844206136431,0.0028052960001332394,coverage_only_100
random_matched,random_matched,19,joint_accuracy_coverage,0.95,0.75,0.8391580790141063,reached,45,0.040214477211796246,0.9142857142857143,0.75,0.27810545129579983,0.0016635169999972277,joint_acc95_cov75
